WorkerId,WorkTimeInSeconds,Answer.img_0_id,Answer.img_0_word_0,Answer.img_0_word_1,Answer.img_0_word_2,Answer.img_0_word_3,Answer.img_0_word_4,Answer.img_1_id,Answer.img_1_word_0,Answer.img_1_word_1,Answer.img_1_word_2,Answer.img_1_word_3,Answer.img_1_word_4,Answer.img_2_id,Answer.img_2_word_0,Answer.img_2_word_1,Answer.img_2_word_2,Answer.img_2_word_3,Answer.img_2_word_4,Answer.img_3_id,Answer.img_3_word_0,Answer.img_3_word_1,Answer.img_3_word_2,Answer.img_3_word_3,Answer.img_3_word_4,Answer.img_4_id,Answer.img_4_word_0,Answer.img_4_word_1,Answer.img_4_word_2,Answer.img_4_word_3,Answer.img_4_word_4,Answer.img_5_id,Answer.img_5_word_0,Answer.img_5_word_1,Answer.img_5_word_2,Answer.img_5_word_3,Answer.img_5_word_4,Answer.img_6_id,Answer.img_6_word_0,Answer.img_6_word_1,Answer.img_6_word_2,Answer.img_6_word_3,Answer.img_6_word_4,Answer.img_7_id,Answer.img_7_word_0,Answer.img_7_word_1,Answer.img_7_word_2,Answer.img_7_word_3,Answer.img_7_word_4,Answer.img_8_id,Answer.img_8_word_0,Answer.img_8_word_1,Answer.img_8_word_2,Answer.img_8_word_3,Answer.img_8_word_4,Answer.img_9_id,Answer.img_9_word_0,Answer.img_9_word_1,Answer.img_9_word_2,Answer.img_9_word_3,Answer.img_9_word_4,Answer.treatment_id
A2LFVIC3OBEE1L,283,ingredients_0,nut,health,brown,beanut,taste,ingredients_1,color,paste,taste,meal,food,ingredients_2,green,taste,lime,chilli,hot,ingredients_3,ingredient,cake,taste,food,cook,ingredients_4,vegetable,taste,food,green,health,test_0,good,share,food,colorful,taste,test_1,food,taste,serve,ready,eat,test_2,food,eat,taste,ready,fried,test_3,chines,cook,food,taste,health,test_4,presentation,taste,food,bread,health,2
A1Q6IR9E7MW3BM,284,cultural_0,chinese,dragon,new,year,costume,cultural_1,play,costumes,theater,stage,performance,cultural_2,music,guitars,sombrero,suit,happy,cultural_3,england,horses,hounds,lawn,chase,cultural_4,rodeo,cowboy,hat,crowd,action,test_0,food,india,tradition,sauces,color,test_1,pasta,chianti,pizza,food,wine,test_2,dumplings,serving,food,plates,fried,test_3,sushi,display,fish,japan,plate,test_4,russia,bread,bowl,ornaments,soup,6
AHLVAVDNE9WI0,318,ambiguous_0,food,tasty,healthy,hotdog,fruit,ambiguous_1,food,healthy,tomato,colorful,tasty,ambiguous_2,food,unhealthy,not nice,bad,partial,ambiguous_3,looking nice,food,tomato,colorful,healthy,ambiguous_4,yummy,tasty,colorful,healthy,lemon,test_0,good,festival,verity,foods,tasty,test_1,verity,colorful,tasty,foods,healthy,test_2,food,uncooked,verity,colorful,healthy,test_3,colorful,looking nice,uncooked,tasty,healthy,test_4,soup,statue,cake,colorful,redish,5
A2OK57Y4D4TDTK,602,cultural_0,dragon,China,New Year,costumes,parade,cultural_1,dance,Cossacks,Kozachok,spears,stage,cultural_2,Mariachi,Mexico,sombrero,guitar,violin,cultural_3,fox hunt,England,hounds,riding,outdoors,cultural_4,rodeo,cowboy,USA,wild horse,riding,test_0,Ganesha,India,food offerings,indian cousine,statue,test_1,Italian food,pizza,wine,pasta,tomatoes,test_2,Food,rolls,spring rolls,cabbage,plates,test_3,Sushi,Japan,Makizushi,Nigirizushi,sea food,test_4,matryoshka dolls,Russia,borsch,bread,plates,6
A11KMASRERFP0V,202,ambiguous_0,sausage,bread,vegetables,sauce,delicious,ambiguous_1,pasta,tomatoes,vegetables,Italian,Parsley,ambiguous_2,fancy,fish,vegetables,sauce,small,ambiguous_3,tomatoes,cheese,chicken,brocolli,vegetables,ambiguous_4,lemon,fish,pasta,combination,sauce,test_0,Indian,vegetables,sauce,Dumplings,Tomatoes,test_1,wine,pizza,calzone,spaghetti,tomatoes,test_2,Chinese,eggrolls,Fancy,combination,Pork,test_3,sushi,rice,fish,raw,vegetables,test_4,bread,sauce,tomatoes,garnish,dipping,3
AMMTPFOPT7RCU,624,ingredients_0,nuts,healthy,almonds,tasty,peanuts,ingredients_1,burger,recipe,cooking,preparation,food,ingredients_2,sour,spicy,citric,green,Indian,ingredients_3,spices,recipe,cooking,preparation,baking,ingredients_4,onions,cooking,pickle,preparation,spicy,test_0,India,Traditional,Religion,God,Festival,test_1,Gourmet,Restaurant,Salad,Lunch,Tasty,test_2,Steamed,Rolls,fried,delicious,snacks,test_3,sea food,raw,colorful,display,gourmet,test_4,traditional,soup,bread,chinese,dolls,2
A3FTQZ7K1HLZK9,391,cultural_0,China,Culture,China,tradtional,function,cultural_1,china,art,dance,show,war dance,cultural_2,music,hat,keyboard,cuitar,beach,cultural_3,dog,show,horse,park,riding,cultural_4,horse,race,competion,gray,execitment,test_0,hindu,culture,ganapthy,idol,food,test_1,food,pizza,wine,sandwich,garlic,test_2,indian,tradition,food,sweet,karam,test_3,sea,food,fish,crab,sweet,test_4,soup,bread,toys,salt,sweet,6
A340YB3OS5TW8T,601,cultural_0,CEREMONY,FESTIVEL,FUNCTION,CELEBERATING,DRAGON,cultural_1,STAGE SHOW,DANCE,TEAM,PERFORMANCE,ACTING,cultural_2,MUSIC,HAT,GUITAR,VIOLIN,BAND,cultural_3,DOGS,HORSES,RIDING,RACE,SOLDIERS,cultural_4,GALLERY,HORSE,SKIDING,JOCKY,ARENA,test_0,POOJA,SNACKS,RELIGEOUS,GANESH,FOOD,test_1,TABLE,WINE,DISHES,PIZZA,SANDWICH,test_2,BOX,SNACKS,PLATE,ROLLS,TIFFEN,test_3,NON VEG,MEAT,PRAWN,GRAB,SWEET,test_4,TOY,SOUP,SNACKS,BOWL,PLATE,6
A3K108Z21OMX5P,822,ambiguous_0,delicious,franks,platter,spicy,sasage,ambiguous_1,medley,pasta,salad,tomato,asparagus,ambiguous_2,salmon,masago,delicacy,japanese,creamy,ambiguous_3,traditional,baked,tomato,classic,chicken,ambiguous_4,german,potato,fried,veal,colorless,test_0,punjab,nan,curry,traditional,indian,test_1,italian,bread,garlic,authentic,delightful,test_2,asian,wanton,lunch,traditional,authentic,test_3,sushi,platter,colorful,artistic,share,test_4,russian,lunch,attractive,simple,tomato,3
A3A45A5YUM61LK,641,ambiguous_0,bread,sauce,banana,leaf,jam,ambiguous_1,pasta,tomato,lemon,leaf,noodles,ambiguous_2,chicken,egg,cream,sauce,onion,ambiguous_3,tomato,pepper,rotti,fruits,veg,ambiguous_4,potato,rotti,banana,bread,chilli,test_0,sweets,snacks,milk,jangri,fruits,test_1,drinks,pizza,tomato,rotti,sauce,test_2,cake,cutlet,chips,snacks,non veg,test_3,jom roll,sweet roll,sweets,cakes,cherri,test_4,cake,sauce,jam,curry,non veg,5
AL7XNQINGQOQ5,473,ingredients_0,nuts,health,dry,mix,eat,ingredients_1,food,recipe,cooking,raw material,eating,ingredients_2,green,spicy,eat,fresh,healthy,ingredients_3,coffee,breakfast,food,omlet,quick,ingredients_4,green,fresh,uncooked,spicy,raw,test_0,festival,eatable,variety,professional,colorful,test_1,restaurant,costly,western,party,love,test_2,chinese,breakfast,dumbling,rolls,steam cooked,test_3,sushi,raw,fish,japan,salmon,test_4,chinese,breakfast,kimchi,little,hungry,2
A191JFTJ4GQFN8,491,cultural_0,RED,DRAGON,DANCE,FESTIVAL,CHINA,cultural_1,BLUE,MEN,DANCE,KOZACHOK,LEG KICK,cultural_2,MEXICO,GUITAR,Mariachi,SOMBRERO,VIOLIN,cultural_3,BRITISH,HUNTING,FOX,HORSE,DOGS,cultural_4,RODEO,COWBOWY,HORSE,TEXAS,WESTERN,test_0,INDIA,CURRY,Ganesha,CHICKEN,FEAST,test_1,PIZZA,PASTA,WINE,CALAZONE,ITALIAN,test_2,CHINESE,EGGROLLS,DUMPLINGS,FRIED,FOOD,test_3,JAPANESE,SUSHI,TUNA,SALMON,SHRIMP,test_4,RUSSIA,Matryoshka doll,BORSH,STEW,BREAD,6
A20WOJ4KY8U33L,974,ingredients_0,peanuts,almonds,cashew,nuts,macademia,ingredients_1,burger recipe,burger patty,ground beef,condiments,burger patty ingredients,ingredients_2,green lemon,onion,jalapeno,chili,peppers,ingredients_3,ingredients,baking,chocolate cake recipe,flour,chocolate powder,ingredients_4,parsley,calamondin,chili,onions,garlic,test_0,Elephant statue,Thailand,Thai Cuisine,Hot dishes,delicacies,test_1,spaghetti with meat balls,vegetable salad,pizza,bread,french bread,test_2,asian dishes,chinese cuisine,dumplings,siomai,spring rolls,test_3,japanese food,maki,sashimi,salmon,japanese tofu,test_4,healthy souo,bread,figurines,bowl of souo,meal,2
A13BANR12AL0ZY,375,ingredients_0,Peaunuts,Nuts,Cashews,Almonds,Salty,ingredients_1,Meat,Spices,Bread,Plate,Tasty,ingredients_2,Peppers,Green,Lime,Onion,Garlic,ingredients_3,Powder,Baking,Sugar,Butter,Eggs,ingredients_4,Vegtable,Green,Healthy,Food,Lettuce,test_0,Chinese,Food,Meat,Sauce,Gold,test_1,Picnic,Sandwhich,Speghetti,Soup,Pizza,test_2,Egg Roll,Food,Plate,Tasty,Asian,test_3,Shrimp,Seafood,Food,Fish,Sushi,test_4,Food,Random,Bread,Soup,Red,4
A2CN8507Y4PBRB,207,cultural_0,china,dragon,festival,people,chinese,cultural_1,performance,blue,dance,wood floor,teens,cultural_2,mexico,guitar,sombrero,mariachi,singing,cultural_3,hunting,dogs,horses,hats,coats,cultural_4,western,cowboy,horse,rodeo,hat,test_0,food,god,red,spices,East Asia,test_1,italian,wine,food,pasta,pizza,test_2,food,fried,dough,rolls,plates,test_3,sushi,japan,japanese,fish,shrimp,test_4,russian,matrishka,nesting dolls,soup,bread,1
A3FMVGPLM6G2R8,413,ingredients_0,badam,peanuts,cashew,nuts,groundnut,ingredients_1,rice,dal,beef,butter,rasam,ingredients_2,garlic,greenchilli,lemon,capsicum,onion,ingredients_3,egg,milk,cornflour,water,salt,ingredients_4,greenchilli,oil,corianderleaves,ginger,onion,test_0,kesari,chutney,dal,samosa,pongal,test_1,panipuri,samosa,pizza,pasta,dumbpling,test_2,roll,kachori,sweet,kolukattai,cake,test_3,prawn,fish,leaves,butter,cucumber,test_4,soup,pepper,salt,chilli sauce,tomatosauce,2
A73ITJ4GZGQBI,211,ingredients_0,nuts,almonds,peanuts,seeds,food,ingredients_1,bread,meat,eggs,flour,vanilla,ingredients_2,pepper,vegetable,lime,garlic,onion,ingredients_3,flour,butter,cocoa,chocolate,eggs,ingredients_4,cilantro,onion,lime,jalapeno,garlic,test_0,meat,sauce,food,rice,dip,test_1,pasta,meatball,pizza,sauce,bread,test_2,chinese,egg roll,chicken,meat,crab ragoon,test_3,sushi,fish,shrimp,appetizer,rice,test_4,sauce,tomato,bread,soup,condiment,4
A3JJAFR9BRLG0,196,ambiguous_0,hotdog,bread,salad,food,plating,ambiguous_1,pasta,fresh,vegetables,lemon,tomatto,ambiguous_2,creamy,fish,food,healthy,plating,ambiguous_3,salad,tomato,cheese,broccoli,fried,ambiguous_4,naglets,chicken,lemon,spicy,fresh,test_0,god,lord,samosa,prayer,foods,test_1,wine,party,pizza,treat,foods,test_2,variety,food,traditional,spicy,sweet,test_3,sweets,fish,prsentation,platting,food,test_4,doll,rusion,soup,bread,food,5
A399QZ02UP2U9V,589,ambiguous_0,breakfast,sausages,foodporn,food presentation,bread,ambiguous_1,pasta sald,asparagus,mediterranean diet,recipe,rigatoni,ambiguous_2,seafood,recipe,caviar,fine dining,healthy alternative,ambiguous_3,bruschetta,italian food,light alternatives,quick recipes,tomato,ambiguous_4,schnitzel,cotoletta,continental dinner,battered meat,restaurant,test_0,indian food,spicy sauces,ethnic food,fine dining,indian buffet,test_1,italian food,red wine,pizza,calzone,traditional,test_2,asian food,dumplings,chinese food,chinese buffet,spring rolls,test_3,sushi platter,asian food,seafood,japanese food,raw fish,test_4,russian food,borsch,traditional,meat based first course,russian recipies,0
A2GTI85GDEOESP,324,cultural_0,colorful,traditional,festival,asian,loud,cultural_1,Russian,dance,dull,hard,interesting,cultural_2,Spanish,Music,Happy,Fun,Fast,cultural_3,Animal Friendly,Outdoors,European,Athletic,Fun,cultural_4,Rodeo,cowboy,scary,Fast,Loud,test_0,India,Delicious,colorful,Feast,Happy,test_1,Italian,Delicious,Typical,Food,Desirable,test_2,Asian,Delicious,Dull,Food,Happy,test_3,Seafood,Asian,Sushi,Variety,Delicious,test_4,Russian,Dolls,Soup,Delicious,Food,6
A21G010TCSMZZ8,911,cultural_0,dragon,cultural,celebration,chinese,dance,cultural_1,dance,group,stage,performance,men,cultural_2,musicians,violinist,guitar,singers,party,cultural_3,english,horses,dogs,cops,riders,cultural_4,mexican,horse,game,cowboy,jumping,test_0,vinayagar,pooja,prasatham,statue,god,test_1,eatables,pizza,wine,noodles,vegetables,test_2,foods,rolls,cakes,wheats,eatables,test_3,salad,sweets,fruits,sea food,prans,test_4,rusk,tomato,soup,jars,starter,1
A3FPD5WHNNREV7,672,cultural_0,dancers,Dragon,festival,stick,yellow,cultural_1,dancers,cultural dance,blue skert,black pant,12 people,cultural_2,musicians,violin,cap,black coat,aa,cultural_3,dogs,hourse,4 red dress men,4 black coat mens,lots of dogs,cultural_4,hourse,men,festival,sports,good,test_0,ganapathi,foods,gold,festival,ganapathi pooja,test_1,canteen,sanks,vine bottle,red check carpet,pizza,test_2,kerala foods,6 items,plates,jakfruit,idiappam,test_3,chinnes dishess,pron dishess,sea foods,garnished,black plate,test_4,indian food,cake,soup,white plate,bowl,6
A3HBQMBW7XGZUM,774,ambiguous_0,rusk,butter,mint,capsicum,chukiny,ambiguous_1,macroni,tomatoe,mint,lemon,coriander leaves,ambiguous_2,fish,cucumber,apple,egg,butter,ambiguous_3,tomatoe,leaves,fish,butter,oil,ambiguous_4,macroni,butter,lemon,fish,orange,test_0,samosa,kesari,vadai,sambar,curd,test_1,pizza,burger,salet,chauce,noodles,test_2,role,sweet,pups,fruit,cake,test_3,fish,sweet,beda,ball,leaf,test_4,bread,masala,curd,tomatoe,boxes,3
A32LRPIXJUA1E6,1051,ambiguous_0,this is beatifullu,this is color full foods,this food from restorent food,beutifull and best,nice,ambiguous_1,this fresh vegitabile food,this food is hotel,fully vegiterian foods,i like it,color full food,ambiguous_2,nice food,rastorent foods,big hotel food,i like it for color fully,nice and better,ambiguous_3,tomato foods,full vegiterian,nice and beutifull,hotel foods,city hotel food,ambiguous_4,vegiterian food,nice and beutifull,i qeulity foods,city hotel foods,i like it,test_0,kerala temble,kerala pooja,vegitable food,color fully,i like it,test_1,restorents foods,big hotel foods,beutifuly,beutifull pizza,nice bred,test_2,hotel foods,hotel foods and nice,color full restorents foods,i like it,best food,test_3,nice and beutifull,i like it,this is a non-veg,"this chicken , mutten and veg",top foods items,test_4,this is chines food,better qualitty foods,this china hotel foods,color full and nice,i like for this foods,0
A134SDBSJMLOCF,228,ingredients_0,nuts,peanuts,almonds,cashews,treenuts,ingredients_1,bread,egg,sauce,meat,dairy,ingredients_2,peppers,lime,onion,tomatillos,garlic,ingredients_3,flour,water,eggs,butter,sugar,ingredients_4,vegetables,celery,beans,greens,radish,test_0,asian,food,sauce,meat,seasoning,test_1,italian,pizza,pasta,calzone,wine,test_2,eggrolls,springrolls,dumplings,international,food,test_3,seafood,fish,shrimp,fresh,raw,test_4,asian,soup,tomato,sauce,bread,4
A3DY9JPLPQUN1O,376,ambiguous_0,Fresh,hungry,tasty,chilli,nice,ambiguous_1,fresh,vegetables,tomato,lime,hungry,ambiguous_2,cheese,fresh,small,cucumber,hungry,ambiguous_3,cheese,hungry,tomato,fresh,green,ambiguous_4,chilli,lime,fried,hungry,fresh,test_0,feast,all,fresh,ready,pray,test_1,fresh,noodles,cheese,fried,pizza,test_2,chappthi,roll,maitha,fresh,hungry,test_3,fish,nonvegeterian,hungry,tasty,cheese,test_4,dolls,tomato,cake,fresh,tasty,3
